Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,
The impact of gardening on mental resilience in times of stress: A case study during the COVID-19 pandemic in Singapore,"Sia, A; Tan, PY; Wong, JCM; Araib, S; Ang, WF; Er, KBH","To curb the spread of Covid-19, Singapore, like other cities, had to impose movement restriction and social distancing measures that may affect the well-being of its residents. In this paper, we assessed the potential benefits of gardening on the mental well-being of Singapore residents, based on the concept of mental resilience. We hypothesized that gardening activities promote mental resilience. A survey was administered on 8,786 participants of a ""Gardening with Edibles"" programme, measuring their mental resilience status, engagement in gardening activities and socio-demographic information. The mental resilience scores of participants who engaged in weekly gardening were compared with the scores derived from another survey conducted during the pandemic on an online community comprising demographically representative respondents with an interest on Covid-19 related community care. The results showed that the mental resilience of those who gardened was statistically significantly higher than the online community. Within the gardening group, those with less than one hour of weekly gardening time had significantly lower scores in their total mental resilience, and five out of seven resilience factors, ""emotional regulation"", ""relationship"", ""confidence"", ""positive thinking"" and ""spirituality"", compared to those with more weekly gardening time, showing that the efficacy of the mediating effects may peak at a weekly gardening time of between one to four hours. Home gardening may be an effective way for people living in densely populated cities to interact with nature and build mental resilience during the pandemic.",2022,,URBAN FORESTRY & URBAN GREENING,68,,,WOS:000789606400001,10.1016/j.ufug.2021.127448,,#4033,Sia 2022,
"Comparison of Physiological and Psychological Relaxation Using Measurements of Heart Rate Variability, Prefrontal Cortex Activity, and Subjective Indexes after Completing Tasks with and without Foliage Plants","Park, SA; Song, C; Oh, YA; Miyazaki, Y; Son, KC","The objective of this study was to compare physiological and psychological relaxation by assessing heart rate variability (HRV), prefrontal cortex activity, and subjective indexes while subjects performed a task with and without foliage plants. In a crossover experimental design, 24 university students performed a task transferring pots with and without a foliage plant for 3 min. HRV and oxyhemoglobin (oxy-Hb) concentration in the prefrontal cortex were continuously measured. Immediately thereafter, subjective evaluation of emotions was performed using a modified semantic differential (SD) method and a profile of mood state questionnaire (POMS). Results showed that the natural logarithmic (ln) ratio of low frequency/high frequency, as an estimate of sympathetic nerve activity, was significantly lower while performing the task with foliage plants for the average 3 min measurement interval. Oxy-Hb concentration in the left prefrontal cortex showed a tendency to decrease in the 2-3 min interval in the task with foliage plants compared to the task without plants. Moreover, significant psychological relaxation according to POMS score and SD was demonstrated when the task involved foliage plants. In conclusion, the task involving foliage plants led to more physiological and psychological relaxation compared with the task without foliage plants.",2017,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,14,9,,WOS:000411574400139,10.3390/ijerph14091087,,#4199,Park 2017,
"A nature-based health intervention at a military healthcare center: a randomized, controlled, cross-over study","Ameli, R; Skeath, P; Abraham, PA; Panahi, S; Kazman, JB; Foote, F; Deuster, PA; Ahmad, N; Berger, A","We describe a mixed qualitative and quantitative research study in a military facility regarding the role of nature in well-being. Study intervention included two 20-minute walks. One walk was in an intentionally designed woodland environment (Green Road) and the other was on a busy campus road in a medical treatment facility (Urban Road). Twelve volunteers from a military facility participated in both walks in a cross-over experimental design. The two walking sessions were randomly ordered and preceded by pre-walk instructions appropriate to each road's characteristics and incorporated focused attention and present moment orientation. A semi-structured post-walk interview, the primary outcome, was conducted after the conclusion of each walk. Qualitative data analyses consisted of sentiments and themes by using NVivo 12 software. The Green Road was unanimously rated as positive (100%). Responses to Urban Road were evenly distributed among positive (33.3%), negative (33.3%), and neutral/mixed (33.3%) sentiments. The Green Road yielded predominantly positive themes such as enjoyment of nature, relaxation, and feelings of privacy and safety. Urban Road produced significantly more negative themes such as concerns for safety, dislike of noise and other noxious experiences. Quantitative assessment of distress and mindfulness with Distress Thermometer (DT) and Mindful Attention Awareness Scale-state version (MAAS) demonstrated that a walk on the Green Road significantly decreased distress and increased mindfulness compared to a walk on the Urban Road. We also observed that pre-walk instructions could direct attention to both obvious and subtle elements of experience and enhance awareness. Results support the notion that an intentional nature-based environment may produce significantly more positive experiences and result in health-promoting benefits in a military health-care setting compared to an urban environment. Future studies with clinical populations could advance our understanding of the healing value of nature-based interventions. The impact of intentional green environments may be enhanced by well-designed instructions for both recreational and therapeutic use.",2021,,PEERJ,9,,,WOS:000605102900004,10.7717/peerj.10519,,#4255,Ameli 2021,
Measuring connectedness to nature in preschool children in an urban setting and its relation to psychological functioning,"Sobko, T; Jia, ZZ; Brown, G","BackgroundThe urban environment has been criticized for promoting 'nature-deficit' and 'child-nature disconnectedness'. Keeping in mind the importance of nature exposure and its extensive health benefits, many environmental programs around the world hope to (re) connect children with nature. To evaluate the effectiveness of such efforts, valid tools to measure Connectedness to Nature (CN) are needed but do not exist today, especially for use with preschoolers.MethodsThe original CN Index was modified and tested among the Parents of Preschool Children (CNI-PPC) in an urban setting (Hong Kong) for its internal consistency (n = 299) and external validity (n = 194). The 'Strength and Difficulties Questionnaire' (SDQ) was chosen for divergent and convergent analysis. Conventional recommendations for test adaptation and translation were used.ResultsConfirmatory factor analysis (CFA) revealed that the 16-item scale adequately captured four major dimensions: enjoyment of nature, empathy for nature, responsibility toward nature, and awareness of nature (Cronbach's alpha were respectively .86, .87, .75 and .80). When tested against the SDQ, a validated measure for child psychological functioning, and identification of children's problem behaviours, three CNI-PPC factors influenced the SDQ outcomes: (1) the more enjoyment of nature children displayed the less overall distress and impairment they exhibited (beta = -.64); (2) greater responsibility toward nature in children was associated with less hyperactivity (beta = -.50), fewer behavioural and peer difficulties (beta = -.62 and beta = -.65 respectively) and improved prosocial behaviour (beta = .77); (3) the more aware children were of nature, the less emotional difficulties they exhibited (beta = -. 51). The variance explained was large (range R-2 = .42 to .80).ConclusionsThus, CNI-PPC factors have meaningful and substantive associations with the strengths and difficulties parents perceive in their children. This indicates that the CNI-PPC is a valid and reliable instrument to measure CN at an age when children cannot respond for themselves. Further, this simple tool can help researchers/practitioners to better understand how connectedness to nature affects child psychological functioning and wellbeing.",2018,,PLOS ONE,13,11,,WOS:000451763800022,10.1371/journal.pone.0207057,,#4306,Sobko 2018,
"The relationship between self-reported exposure to greenspace and human stress in Baltimore, MD","Hazer, M; Formica, MK; Dieterlen, S; Morley, CP","Cross-sectional methods were utilized to investigate if greenspace (GS) exposure predicts stress, a known factor affecting health outcomes. Data included publicly accessible Community Statistical Area (CSA) level information and survey (mailed and online) results of residents in Baltimore, Maryland. The convenience sample was recruited in spring 2013 using random (by CSA) and snowball techniques. The survey included demographic information, GS exposure, recent stressful life events, and the validated Perceived Stress Scale (PSS). Individuals reported (hours per week, type) where they see (visual exposure) or spend time in (physical exposure) GS around their home, work and/or school, and during recreation. Duration of GS exposure was defined as hours of visual exposure, hours of physical exposure, and total hours of exposure (both visual and physical). Multivariable linear regression assessed the effect of GS on perceived stress. Respondents (N = 323) reported a mean 25.5 total hours/week exposed to GS. Mean PSS scores were 15.75 for females and 13.45 for males. Controlling for all covariates, there was a statistically significant reduction in PSS score (0.049, p = 0.007) for every hour/week exposed to GS. This means that an individual who spent 25.5 h/week exposed to GS would have a PSS score 3.1% lower than those who were not exposed to GS. Total hours/week exposed to GS, and the individual effects of visual and physical exposure were all statistically significant. These findings indicate the stress reducing effects of GS exposure may be part of complex set of factors behind the relationship between GS and health outcomes.",2018,,LANDSCAPE AND URBAN PLANNING,169,,47-56,WOS:000414882300005,10.1016/j.landurbplan.2017.08.006,,#4339,Hazer 2018,
Greenspaces and Human Well-Being: Perspectives from a Rapidly Urbanising Low-Income Country,"Nawrath, M; Elsey, H; Rijal, ML; Dallimer, M","Compelling evidence demonstrates links between greenspaces and human well-being. However, the existing evidence has a strong bias towards high-income countries. Rapidly urbanising cities in low- and middle-income countries (LMICs) remain largely unexplored. The rising prevalence of mental disorders in LMICs highlights the need to better understand the role greenspaces can play in mitigating mental ill-health. We carried out a cross-sectional household survey to investigate links between measures of greenspace exposure and human well-being, and tested pathways that could underpin any such interactions in Kathmandu, a rapidly urbanising low-income city in Nepal. While we found no consistent relationship between measures of greenspace exposure and human well-being outcomes, we provide evidence that greenspaces in a rapidly urbanising low-income setting could be important for encouraging physical activity and fostering social cohesion. Further, we revealed that a medium perceived variety of biodiversity attributes of greenspaces was associated with the highest levels of physical activity and social cohesion. Our findings support the view that greenspaces in LMICs may be less likely to provide well-being benefits. Moreover, medium levels of biodiversity may best promote well-being in LMICs. More research is needed to understand how greenspaces can support human well-being in LMICs.",2022,,ENVIRONMENTS,9,12,,WOS:000901062500001,10.3390/environments9120148,,#5026,Nawrath 2022,
"Investigating the Association between Streetscapes and Mental Health in Zhanjiang, China: Using Baidu Street View Images and Deep Learning","Zhang, AJ; Zhai, SY; Liu, XX; Song, GX; Feng, YK","Mental health is one of the main factors that significantly affect one's life. Previous studies suggest that streets are the main activity space for urban residents and have important impacts on human mental health. Existing studies, however, have not fully examined the relationships between streetscape characteristics and people's mental health on a street level. This study thus aims to explore the spatial patterns of urban streetscape features and their associations with residents' mental health by age and sex in Zhanjiang, China. Using Baidu Street View (BSV) images and deep learning, we extracted the Green View Index (GVI) and the street enclosure to represent two physical features of the streetscapes. Global Moran's I and hotspot analysis methods were used to examine the spatial distributions of streetscape features. We find that both GVI and street enclosure tend to cluster, but show almost opposite spatial distributions. The Results of Pearson's correlation analysis show that residents' mental health does not correlate with GVI, but it has a significant positive correlation with the street enclosure, especially for men aged 31 to 70 and women over 70-year-old. These findings emphasize the important effects of streetscapes on human health and provide useful information for urban planning.",2022,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,19,24,,WOS:000901089300001,10.3390/ijerph192416634,,#5262,Zhang 2022,
Psychological benefits of Forest Bathing during the COVID-19 pandemic: a pilot study in a Mediterranean forest close to urban areas,"Muro, A; Feliu-Soler, A; Canals, J; Parrado, E; Sanz, A","The practice of Shinrin-Yoku or Forest Bathing is an outdoor therapeutic modality with mounting evidence suggesting positive effects on individuals' psychological wellbeing and overall health. However, its benefits have mainly been studied in Asian biomes and more research is needed to evaluate if its benefits are also generalizable to other regions such as European-Mediterranean forests. To preliminarily explore this issue, 16 healthy adults (87.5% women, mean age 47.5) were assessed before and after a 3-hour session of Forest Bathing with meditation exercises in a Mediterranean forest near Barcelona (Spain). Changes in state anxiety, negative affect, positive affect and state mindfulness were assessed. Results show significant increases in positive affect, vigour, friendship and mindfulness, and decreases in negative affect, anxiety, anger, fatigue, tension, and depressive mood. Effect sizes observed for all the outcomes were significant and large, ranging from d = 1.02 to d = 2.61. This study encourages more applied research of the forest therapy model and the practice of Shinrin-Yoku in Mediterranean forests to increase the general population's psychological wellbeing and to deal with the growing prevalence of the psychological side-effects generated by the COVID-19 in European countries such as Spain.",2022,,JOURNAL OF FOREST RESEARCH,27,1,71-75,WOS:000712664100001,10.1080/13416979.2021.1996516,,#5868,Muro 2022,
"Effects of forest bathing (shinrin-yoku) on serotonin in serum, depressive symptoms and subjective sleep quality in middle-aged males","Li, Q; Ochiai, H; Ochiai, T; Takayama, N; Kumeda, S; Miura, T; Aoyagi, Y; Imai, M","Background: We previously found that a forest bathing (shinrin-yoku) program significantly reduced the scores for depression, anxiety, anger, fatigue, and confusion and increased the score for vigor in the profile of mood states (POMS) test and showed a potential preventive effect on the depressive status in both males and females. In the present study, we investigated the effects of a forest bathing program on the level of serotonin in serum, depressive symptoms and subjective sleep quality in middle-aged males.Methods: Twenty healthy male subjects aged 57.3 ' 8.4 years were selected after obtaining informed consent. These subjects took day trips to a forest park, the birthplace of forest bathing in Japan named Akasawa Shizen Kyuyourin, Agematsu, Nagano Prefecture (situated in central Japan), and to an urban area of Nagano Prefecture as a control in June 2019. On both trips, they walked 2.5 km for 2 hours each in the morning and afternoon on Saturday and Sunday, respectively. Blood was sampled in the afternoon before and after each trip. Concentrations of serotonin and lactic acid in serum were measured. The POMS test and a questionnaire for subjective sleep quality were conducted before and after the trips. Ambient temperature and humidity were monitoring during the trips. The Ethics Committees of the Nippon Medical School and Nagano Prefectural Kiso Hospital approved this study.Results: The forest bathing program significantly increased level of serotonin in serum, and significantly increased the score for vigor and decreased the score for fatigue in the POMS test. The forest bathing program also improved the sleepiness on rising and feeling refreshed (recovery from fatigue) in the Oguri-Shirakawa-Azumi sleep inventory MA version (OSA-MA).Conclusions: Taken together, the present study suggests that forest bathing may have potential preventive effects on depression (depressive status).",2022,,ENVIRONMENTAL HEALTH AND PREVENTIVE MEDICINE,27,,,WOS:000885105500001,10.1265/ehpm.22-00136,,#5878,Li 2022,
Effects of Walking in Bamboo Forest and City Environments on Brainwave Activity in Young Adults,"Hassan, A; Tao, J; Li, G; Jiang, MY; Aii, L; Jiang, ZH; Liu, ZF; Chen, QB","Background. In Japan,""Shinrin-yoku"" or forest bathing (spending time in forests) is a major practice used for relaxation. However, its effects on promoting human mental health are still under consideration. The objective of this study was to investigate the physiological and psychological relaxation effects of forest walking on adults. Sixty participants (50% males; 50% females) were trained to walk 15-minute predetermined courses in a bamboo forest and a city area (control). The length of the courses was the same to allow comparison of the effects of both environments. Blood pressure and EEG results were measured to assess the physiological responses and the semantic differential method (SDM) and STAI were used to study the psychological responses. Blood pressure was significantly decreased and variation in brain activity was observed in both environments. The results of the two questionnaires indicated that walking in the bamboo forest improves mood and reduces anxiety. Moreover, the mean meditation and attention scores were significantly increased after walking in a bamboo forest. The results of the physiological and psychological measurements indicate the relaxing effects of walking in a bamboo forest on adults.",2018,,EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE,2018,,,WOS:000426158100001,10.1155/2018/9653857,,#5934,Hassan 2018,
Effects of Short Forest Bathing Program on Autonomic Nervous System Activity and Mood States in Middle-Aged and Elderly Individuals,"Yu, CP; Lin, CM; Tsai, MJ; Tsai, YC; Chen, CY","The present study investigated changes in autonomic nervous system activity and emotions after a short (2 h) forest bathing program in the Xitou Nature Education Area (XNEA), Taiwan. One hundred and twenty-eight (60.0 +/- 7.44 years) middle-aged and elderly participants were recruited. Physiological responses, pulse rate, systolic and diastolic blood pressure, heart rate variability (HRV), and psychological indices were measured before and after the program. We observed that pulse rate, systolic and diastolic blood pressure were significantly lower after the program, which indicated physiological benefits from stress recovery. The Profile of Mood States negative mood subscale scores of ""tension-anxiety"", ""anger-hostility"", ""fatigue-inertia"", ""depression-dejection"", and ""confusion-bewilderment"" were significantly lower, whereas the positive mood subscale score of ""vigor-activity"" was higher. Furthermore, participants exhibited significantly lower anxiety levels according to the State-Trait Anxiety Inventory. However, changes in sympathetic and parasympathetic nerve activity were nonsignificant. Our study determined that the short forest bathing program is a promising therapeutic method for enhancing heart rate and blood pressure functions as well as an effective psychological relaxation strategy for middle-aged and elderly individuals.",2017,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,14,8,,WOS:000408684300067,10.3390/ijerph14080897,,#5959,Yu 2017,
The effect of winter forest bathing on psychological relaxation of young Polish adults,"Bielinis, E; Takayama, N; Boiko, S; Omelan, A; Bielinis, L","The impact of winter forest bathing on human psychological states was investigated in this study. Sixty-two participants were divided into two groups, each group was exposed to city forest or urban (control) environment for 15 minutes. The participants filled up four psychological questionnaires before and after exposure: the profile of mood states (POMS), the positive and negative affect schedule (PANAS), the subjective vitality scale (SVS), and restorative outcomes scale (ROS). The forest environment influenced the surveyed participants, causing a decrease in the negative subscales of POMS and an increase in the positive (vigor) subscale. Moreover, after exposure to the forest environment the participants had the highest scores of SVS, ROS, and a positive subscale of PANAS. This means that in conditions of Central Europe short winter interaction with forest had a substantial emotional, restorative, and vitalizing effect on the surveyed participants.",2018,,URBAN FORESTRY & URBAN GREENING,29,,276-283,WOS:000427197500028,10.1016/j.ufug.2017.12.006,,#6274,Bielinis 2018,
Relationship between psychological responses and physical environments in forest settings,"Park, BJ; Furuya, K; Kasetani, T; Takayama, N; Kagawa, T; Miyazaki, Y","The present study aimed to clarify the relationship between psychological responses to forest and urban environmental settings and the physical variables that characterize these environments, by examining the psychological responses of 168 subjects to their physical environment. Field experiments were conducted in 14 forests and 14 urban areas across Japan. The semantic differential (SD) method was employed in which a questionnaire was administered to subjects prior to their walks in the forests and urban areas. In addition, the profile of mood states (POMS) questionnaire was administered before and after the walks, as well as before and after they sat and viewed the forest and urban landscapes. The environmental variables measured were air temperature, relative humidity, radiant heat, wind velocity, and two indices of thermal comfort [predicted mean vote (PMV) and predicted percentage dissatisfied (PPD)]. Responses to the SD questionnaire indicated that compared to urban settings, forest settings are perceived as being significantly more enjoyable, friendly, natural, and sacred. The POMS measures of tension and anxiety (T-A), depression and dejection (D). anger and hostility (A-H), vigor (V), confusion (C), fatigue (F), and total mood disturbance (TMD) showed significant differences between the forests and urban areas. These results strongly support the suggestion that forest settings have attention restoration effects. The psychological responses to physical environments were also significantly related to air temperature, relative humidity, radiant heat, wind velocity, PMV, and PPD. The results of this study might be useful in designing restoration environments in urban areas. (C) 2011 Elsevier B.V. All rights reserved.",2011,,LANDSCAPE AND URBAN PLANNING,102,1,24-32,WOS:000292443400003,10.1016/j.landurbplan.2011.03.005,,#6523,Park 2011,
Physiological and Psychological Effects of Forest Therapy on Middle-Aged Males with High-Normal Blood Pressure,"Ochiai, H; Ikei, H; Song, C; Kobayashi, M; Takamatsu, A; Miura, T; Kagawa, T; Li, Q; Kumeda, S; Imai, M; Miyazaki, Y","Time spent walking and relaxing in a forest environment (""forest bathing"" or ""forest therapy"") has well demonstrated anti-stress effects in healthy adults, but benefits for ill or at-risk populations have not been reported. The present study assessed the physiological and psychological effects of forest therapy (relaxation and stress management activity in the forest) on middle-aged males with high-normal blood pressure. Blood pressure and several physiological and psychological indices of stress were measured the day before and approximately 2 h following forest therapy. Both pre- and post-treatment measures were conducted at the same time of day to avoid circadian influences. Systolic and diastolic blood pressure (BP), urinary adrenaline, and serum cortisol were all significantly lower than baseline following forest therapy (p < 0.05). Subjects reported feeling significantly more ""relaxed"" and ""natural"" according to the Semantic Differential (SD) method. Profile of Mood State (POMS) negative mood subscale scores for ""tension-anxiety,"" ""confusion,"" and ""anger-hostility,"" as well as the Total Mood Disturbance (TMD) score were significantly lower following forest therapy. These results highlight that forest is a promising treatment strategy to reduce blood pressure into the optimal range and possibly prevent progression to clinical hypertension in middle-aged males with high-normal blood pressure.",2015,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,12,3,2532-2542,WOS:000351929700013,10.3390/ijerph120302532,,#6599,Ochiai 2015,
The Effects of a Short Forest Recreation Program on Physiological and Psychological Relaxation in Young Polish Adults,"Bielinis, E; Bielinis, L; Krupinska-Szeluga, S; Lukowski, A; Takayama, N","Forest recreation is an activity that could be successfully used to alleviate negative symptoms of stress in individuals. Multiple positive psychological and physiological effects have been described in the literature, especially regarding works describing research from Asian countries such as Japan, Korea, and Taiwan. In East-Central Europe, however, the effectuality of forest recreation has not been addressed in scientific research. Thus, a special recreation program was developed, and its usability was examined with the involvement of 21 young Polish adults. A pre- and post-test design was used, wherein four psychological questionnaires were applied (Profile of Mood States, Positive and Negative Affect Schedule, Restorative Outcomes Scale, Subjective Vitality Scale), and physiological measures were assessed (pulse rate, blood pressure) before and after the program. A field study was also conducted at the nature reserve Redykajny, near the suburban forest of the city of Olsztyn. The recreational program had a significant impact on psychological and physiological parameters. After recreation, the negative mood markers of the negative affect decreased and the positive affect, including restoration and vitality, increased. Furthermore, pulse rates, systolic blood pressures, and mean arterial pressures of the participants were significantly lower after the program. These results reveal that the short forest recreation program may be effective in reducing negative symptoms of stress.",2019,,FORESTS,10,1,,WOS:000458910800034,10.3390/f10010034,,#6666,Bielinis 2019,
Physiological and Psychological Effects of Viewing Forests on Young Women,"Song, CR; Ikei, H; Kagawa, T; Miyazaki, Y","Research Highlights: This study demonstrated that viewing forest landscapes induced physical and mental health benefits on young women. Background and Objectives: The health-promoting effects of spending time in forests have received increasing attention; however, there is a lack of evidence-based research investigating the effects of spending time in forests on women. This study aimed to evaluate the physiological and psychological effects of viewing forest landscapes on young women. Materials and Methods: The experiments were conducted in six forests and six city areas and included 65 women (mean age, 21.0 +/- 1.3 years). Participants viewed a forest and a city area for 15 min, during which their heart rate variability and heart rate were measured continuously. Blood pressure and pulse rate were measured before and after the viewing. After the viewing, participants' psychological responses were assessed using the modified semantic differential method, Profile of Mood States (POMS), and the State-Trait Anxiety Inventory (STAI). Results: Compared with viewing city areas, viewing forest landscapes was associated with significantly higher parasympathetic nervous activity and lower sympathetic nervous activity and heart rate. Moreover, scores of the comfortable, relaxed, and natural parameters and vigor subscales of POMS were significantly higher with forest viewing. The scores of negative feelings, such as tension-anxiety, depression-dejection, anger-hostility, fatigue, and confusion, were significantly lower, as were scores for the total mood disturbance observed using POMS and the anxiety dimension observed using STAI. Conclusions: Viewing forest landscapes resulted in physiological and psychological relaxations in young women.",2019,,FORESTS,10,8,,WOS:000482949200026,10.3390/f10080635,,#6686,Song 2019,
The Effect of Recreation in a Snow-Covered Forest Environment on the Psychological Wellbeing of Young Adults: Randomized Controlled Study,"Bielinis, E; Lukowski, A; Omelan, A; Boiko, S; Takayama, N; Grebner, DL","Forest recreation can be successfully conducted for the purpose of psychological relaxation, as has been proven in previous scientific studies. During the winter in many countries, when snow cover occurs frequently, forest recreation (walking, relaxation, photography, etc.) is common. Nevertheless, whether forest therapy conducted in a forest environment with a snow cover will also have a positive effect on psychological indicators remains unknown. Furthermore, male subjects frequently participate in forest therapy experiments, whereas females are rarely involved. Thus, in this study, the effectuality of forest recreation during winter and with snow cover was tested on 32 young females. For these reasons, the experiment involved 15 min periods of relaxation in a forest environment or in an urban street environment, in addition to a pre-test under indoor conditions (randomized controlled study). Four psychological questionnaires Profile of Mood States (POMS), Positive and Negative Affect Schedule (PANAS), Restorative Outcome Scale (ROS), Subjective Vitality Scale (SVS)) were administered to participants before and after interventions. Results showed that participants' levels of negative mood, as measured by different aspects of the POMS questionnaire (tension/anxiety, anger/hostility, depression/dejection, confusion, and fatigue), decreased after exposure to the forest environment. In contrast, both tension/anxiety and anger/hostility increased in the urban street environment. The indicator of negative affect from the PANAS questionnaire also increased after exposure to the urban street environment, whereas the indicator of positive affect based on PANAS was higher in the forest environment than in the urban street environment. Restorativeness and subjective vitality exhibited higher values after exposure to the forest environment in comparison to those from the control and pre-test. The changes in these indicators demonstrate that forest recreation in the snow during winter can significantly increase psychological relaxation in females, as well as show that recreation can be successfully conducted under these winter conditions.",2019,,FORESTS,10,10,,WOS:000498395600004,10.3390/f10100827,,#6750,Bielinis 2019,
Differences of psychological effects between meditative and athletic walking in a forest and gymnasium,"Shin, YK; Kim, DJ; Jung-Choi, K; Son, YJ; Koo, JW; Min, JA; Chae, JH","Several studies have reported that exercise and meditative activities in a forest are more effective than the same activities performed in an urban area. However, few studies have compared the direct effects of exercise to those of meditative activity in a forest and indoors. This study aimed to identify how the effects of the same activity might differ when performed in a forest as opposed to indoors, as well as how the effects of meditative and athletic activities in the same environment might differ. We recruited 139 females between 18 and 25 years of age and distributed the subjects into four groups by random allocation: athletic walking in the gymnasium (AG), athletic walking in the forest (AF), meditative walking in the gymnasium (MG), and meditative walking in the forest (MF). We evaluated the subjects before and after walking, using the State-Trait Anxiety Inventory-X, Rosenberg Self-Esteem Scale, and Happiness Index for Koreans. Meditative walking had greater effectiveness on the psychological aspects than athletic walking did in the same environment. Also, walking in the forest increased happiness to a greater degree than walking in the gymnasium at the same pace. Especially meditative walking in the forest was the most effective at increasing happiness.",2013,,SCANDINAVIAN JOURNAL OF FOREST RESEARCH,28,1,64-72,WOS:000311699200007,10.1080/02827581.2012.706634,,#6787,Shin 2013,
"Exploring the Association between Neighborhood Blue Space and Self-Rated Health among Elderly Adults: Evidence from Guangzhou, China","Chen, YJ; Yuan, Y; Zhou, YQ","Blue spaces is associated with self-rated health (SRH), but little is known about the pathways underlying this association among Chinese urban elderly individuals. Based on neighborhood effect theory, this study examined the relationship between neighborhood blue spaces and SRH among elderly individuals using data from a questionnaire survey conducted in Guangzhou, remote sensing images, street views, and environmental information in the context of a Chinese megacity. In addition, multilevel linear model and mediating effect model empirical analyses were performed. Results showed that first, the SRH of the elderly was associated with individual- and neighborhood-level factors. Second, the multilevel mediation model revealed that multiple biopsychosocial pathways existed between neighborhood blue spaces and the SRH of the elderly, specifically, the blue space characteristics related to the SRH of the elderly via the mediating effect of stress. Third, owing to demographic characteristics and socioeconomic status, the stratified analyses also indicated a strong association between neighborhood blue spaces and SRH outcomes in the older and low-income groups. The mediating effect of stress in the age and income groups was also observed, and the mediation pathways and group differences were confirmed in the context of Chinese cities. This research enriches the empirical literature on blue spaces and elderly health from a multidisciplinary perspective and suggests the need for ""healthy neighborhood"" and ""health-aging"" planning in Chinese settings.",2022,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,19,23,,WOS:000897337400001,10.3390/ijerph192316342,,#6827,Chen 2022,
"Relation between Psychological Restorativeness and Lifestyle, Quality of Life, Resilience, and Stress-Coping in Forest Settings","Takayama, N; Morikawa, T; Bielinis, E","Previous research has mainly dealt with the physiological and psychological restorative effects of the forest environment. However, comparatively few studies have focused on how the traits and attributes of individuals (individual traits) affect the restorative effects of the forest environment. In this study, we examined the relationships between the psychological restorative effects offered by perceived restorativeness of outdoor settings and the individual traits. Then, we investigated the relationships between the restorative indicators that are useful in examining the restorative properties (i.e., the Perceived Restorativeness Scale (PRS); seven indicators in total), the psychological restorative effect (Profile of Mood States (POMS), Restorative Outcome Scale (ROS), positive and negative affect schedule (PANAS), and Subjective Vitality Scale (SVS); 10 indicators in total), and the individual trait indicators that could be used to investigate individual traits (Development of Health and Life Habit Inventory for lifestyle, Lazarus-type Stress Coping Inventory for stress coping, World Health Organization Quality of Life Assessment 26 for quality of life (QOL), and Sukemune-Hiew Resilience test for resilience; 28 indicators in total) in forest and urban settings. Respondents consisted of 46 male students in their twenties. A short-term experiment was conducted using the same method in both environmental settings. We then analyzed the intrinsic restorative properties and the restorative effects of the settings and referred to prior research to determine the restorative effects. Furthermore, we analyzed the relationship between the restorative indicators and the individual trait indicators by correlation analysis and multiple regression (step-wise) analysis. These new findings were obtained: (1) the forest setting was a restorative environment with a higher restorative effect than the urban setting; (2) although the forest setting had a higher restorative effect than the urban setting, and the influence of individual traits was small; (3) in the forest setting, the relationship between the restorative indicators and individual traits indicators were arranged; (4) distancing (Stress coping), psychological health (QOL), and satisfaction with living environment (QOL) were likely important indicators that are related to the restorative effects in the forest setting.",2019,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,16,8,,WOS:000467747100149,10.3390/ijerph16081456,,#7049,Takayama 2019,
Association Between Surrounding Greenness and Schizophrenia: A Taiwanese Cohort Study,"Chang, HT; Wu, CD; Pan, WC; Lung, SCC; Su, HJ","This study aims to investigate the association between surrounding greenness and schizophrenia incidence in Taiwan. Data of 869,484 individuals without a history of schizophrenia were included from the Longitudinal Health Insurance Database from 2000 through 2010 for analysis. The diagnoses of schizophrenia were based on ICD-9 codes. Greenness exposure was assessed using the satellite-based normalized difference vegetation index, assuming individuals lived near the hospital they most often visited for common cold during the study period. Cox proportional hazards models were applied to assess the association between greenness exposure and schizophrenia incidence after adjustments were made for the potential confounders. A total of 5,069 schizophrenia cases were newly diagnosed during the study period. A negative significant (p < 0.05) association found using 2000-m buffer distances (distance of a moderately paced 20-min walk) in the whole Taiwan island, cities, and metropolitan areas. The results of the stratified analysis based on sex and health insurance rate suggested surrounding greenness has approximately equal effects of reducing the risk of schizophrenia, regardless of sex or financial status. In conclusion, our findings suggest that more surrounding greenness may reduce the risk of schizophrenia.",2019,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,16,8,,WOS:000467747100108,10.3390/ijerph16081415,,#7072,Chang 2019,
